"nivos-nivpfs-ipios-ipipfs","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"mixcure - GAM - FP2 - FP2","-87767.9254285577","66797.3861214025",435162.659440776,-251656.097526811,2.86729002990571
"mixcure - GAM - FP2 - RP_hazard","4716.88062366374","66797.3861214025",220889.838515013,17575.1716545397,3.72601578389927
"mixcure - GAM - GAM - FP2","-86624.2484922501","71272.7818627079",433682.361718763,-249411.426408975,2.87923336421544
"mixcure - GAM - GAM - gompertz","-2038.41535981613","71272.7818627079",241106.607538754,-7442.26537663431,3.65100534628311
"mixcure - GAM - GAM - RP_hazard","5302.3166240169","71272.7818627079",219409.540793001,19819.8427723752,3.737959118209
"mixcure - GAM - RCS - RP_hazard","-6041.16626553167","64774.9483635349",265771.893694584,-22923.2647615738,3.79450982707828
"mixcure - gompertz - FP2 - FP2","-89534.9945472332","66797.3861214025",435274.78048396,-253833.500382808,2.83502000158051
"mixcure - gompertz - FP2 - RP_hazard","4168.60548003524","66797.3861214025",221001.959558197,15397.768798543,3.69374575557407
"mixcure - gompertz - GAM - FP2","-88370.9410982986","71272.7818627079",433794.482761947,-251588.829264972,2.84696333589024
"mixcure - gompertz - GAM - gompertz","-2658.2956163977","71272.7818627079",241218.728581938,-9619.66823263105,3.61873531795791
"mixcure - gompertz - GAM - RP_hazard","4760.90667307755","71272.7818627079",219521.661836185,17642.4399163785,3.7056890898838
"mixcure - gompertz - RCS - RP_hazard","-6671.73517910517","64774.9483635349",265884.014737768,-25100.6676175705,3.76223979875308
"mixcure - RCS - FP2 - FP2","-90747.276913347","66797.3861214025",435350.251733493,-255299.160259066,2.81329830428793
"mixcure - RCS - FP2 - RP_hazard","3794.12245158459","66797.3861214025",221077.430807731,13932.1089222846,3.67202405828149
"mixcure - RCS - GAM - FP2","-89569.1489478531","71272.7818627079",433869.954011481,-253054.48914123,2.82524163859766
"mixcure - RCS - GAM - gompertz","-3081.81432652987","71272.7818627079",241294.199831471,-11085.3281088895,3.59701362066533
"mixcure - RCS - GAM - RP_hazard","4391.13008238154","71272.7818627079",219597.133085718,16176.78004012,3.68396739259122
"mixcure - RCS - RCS - RP_hazard","-7102.31223943439","64774.9483635349",265959.485987301,-26566.3274938288,3.7405181014605
"gompertz - GAM - FP2 - FP2","-90386.6000485654","63941.7482067595",445632.998981935,-260898.624846666,2.88647459586358
"gompertz - GAM - FP2 - RP_hazard","2224.88613593197","63941.7482067595",231360.178056172,8332.64433468471,3.74520034985714
"gompertz - GAM - GAM - FP2","-89239.7024722255","68375.0762872135",444152.701259923,-258653.95372883,2.89841793017331
"gompertz - GAM - GAM - gompertz","-4546.02979558126","68375.0762872135",251576.947079913,-16684.7926964893,3.67018991224099
"gompertz - GAM - GAM - RP_hazard","2815.2544437133","68375.0762872135",229879.88033416,10577.3154525202,3.75714368416688
"gompertz - GAM - RCS - RP_hazard","-8434.28674834664","62101.4663462696",276242.233235743,-32165.7920814287,3.81369439303616
"gompertz - gompertz - FP2 - FP2","-92171.3988880459","63941.7482067595",445745.120025119,-263076.027702663,2.85420456753838
"gompertz - gompertz - FP2 - RP_hazard","1657.78534625132","63941.7482067595",231472.299099356,6155.24147868785,3.71293032153194
"gompertz - gompertz - GAM - FP2","-91004.1510476975","68375.0762872135",444264.822303107,-260831.356584827,2.86614790184812
"gompertz - gompertz - GAM - gompertz","-5184.88481175216","68375.0762872135",251689.068123097,-18862.1955524862,3.63791988391579
"gompertz - gompertz - GAM - RP_hazard","2255.08658081593","68375.0762872135",229992.001377344,8399.91259652335,3.72487365584168
"gompertz - gompertz - RCS - RP_hazard","-9082.07903294945","62101.4663462696",276354.354278927,-34343.1949374256,3.78142436471096
"gompertz - RCS - FP2 - FP2","-93395.6884109821","63941.7482067595",445820.591274652,-264541.687578921,2.8324828702458
"gompertz - RCS - FP2 - RP_hazard","1270.47319179798","63941.7482067595",231547.77034889,4689.58160242962,3.69120862423936
"gompertz - RCS - GAM - FP2","-92214.3861707502","68375.0762872135",444340.29355264,-262297.016461085,2.84442620455554
"gompertz - RCS - GAM - gompertz","-5621.33333951105","68375.0762872135",251764.53937263,-20327.8554287445,3.61619818662321
"gompertz - RCS - GAM - RP_hazard","1872.5271870782","68375.0762872135",230067.472626877,6934.25272026507,3.7031519585491
"gompertz - RCS - RCS - RP_hazard","-9524.38476691353","62101.4663462696",276429.82552846,-35808.8548136838,3.75970266741838
"FP1 - GAM - FP2 - FP2","-87656.5529593643","67113.172477117",434099.790584345,-250907.003624178,2.86238729625261
"FP1 - GAM - FP2 - RP_hazard","4924.40442140288","67113.172477117",219826.969658583,18324.2655571722,3.72111305024617
"FP1 - GAM - GAM - FP2","-86511.3880297389","71603.6329426658",432619.492862333,-248662.332506343,2.87433063056234
"FP1 - GAM - GAM - gompertz","-1835.70573434133","71603.6329426658",240043.738682323,-6693.17147400184,3.64610261263002
"FP1 - GAM - GAM - RP_hazard","5509.94535204551","71603.6329426658",218346.67193657,20568.9366750076,3.7330563845559
"FP1 - GAM - RCS - RP_hazard","-5851.3113133582","65065.7523414598",264709.024838153,-22174.1708589413,3.78960709342519
"FP1 - gompertz - FP2 - FP2","-89425.4133382669","67113.172477117",434211.911627529,-253084.406480175,2.83011726792741
"FP1 - gompertz - FP2 - RP_hazard","4377.21600112085","67113.172477117",219939.090701767,16146.8627011754,3.68884302192097
"FP1 - gompertz - GAM - FP2","-88259.8123224008","71603.6329426658",432731.613905517,-250839.73536234,2.84206060223714
"FP1 - gompertz - GAM - gompertz","-2454.61684321632","71603.6329426658",240155.859725507,-8870.57432999858,3.61383258430482
"FP1 - gompertz - GAM - RP_hazard","4969.62862718261","71603.6329426658",218458.792979754,18391.5338190109,3.7007863562307
"FP1 - gompertz - RCS - RP_hazard","-6481.07244386657","65065.7523414598",264821.145881337,-24351.573714938,3.75733706509999
"FP1 - RCS - FP2 - FP2","-90638.9644742579","67113.172477117",434287.382877063,-254550.066356434,2.80839557063483
"FP1 - RCS - FP2 - RP_hazard","4003.46798626979","67113.172477117",220014.5619513,14681.202824917,3.66712132462839
"FP1 - RCS - GAM - FP2","-89459.2471834718","71603.6329426658",432807.08515505,-252305.395238598,2.82033890494456
"FP1 - RCS - GAM - gompertz","-2877.48194066867","71603.6329426658",240231.33097504,-10336.234206257,3.59211088701224
"FP1 - RCS - GAM - RP_hazard","4600.5915937443","71603.6329426658",218534.264229288,16925.8739427525,3.67906465893812
"FP1 - RCS - RCS - RP_hazard","-6911.10594888403","65065.7523414598",264896.61713087,-25817.2335911964,3.73561536780741
